Security Id,Cusip,Isin,Long Name,Fitch Rating,Moody Rating,SNP Rating,Index,Sub Industry,Sector,Ex Dividend Date,Record Date,Issue Country,Asset Classification,Short Name,Ticker,Ric ,BBId,Quantity,Price,Asset Type,Asset SubType,Trade Type,Book,Fund,Buy_Sell_Ind,Counterparty,SourceSystem,SourceSystemTradeId,All in Rate,Spread,Reference Rate,Haircut, Notional ,Collateral Value,Cash Value,Start Date,Trade Date,Maturity Date,Settlement Date,End Date,Term Date,Collateral Type,Currency,Trade SubType,HQLA
3135G0Q89,3135G0Q89,3135G0Q89,FNMA 1 ? 10/07/21,AAA,Aaa,AA+,AGG,AGENCY,,,,US,,FNMA 1 ? 10/07/21,3135G0Q89,3135G0Q89,3135G0Q89,93583,174.605,Credit,CORP,SBL,ABC,ABC,Borrow,CPPIB,ION,192,2.73,0.257,LIBOR1M,8,"16,340,059.72",16340059.72,16340059.72,20200305,20200227,20200319,20200328,20200208,20200215,Cash,USD,Term,
3135G0R88,3135G0R88,3135G0R88,FNMA 1.4 11/10/20,AAA,Aaa,AA+,AGG,AGENCY,,,,US,,FNMA 1.4 11/10/20,3135G0R88,3135G0R88,3135G0R88,90947,296.775,Credit,CORP,SBL,CDE,CDE,Loan,TD,LOANET,842,2.29,0.206,FEDOPN,0,26990795.93,26990795.93,26990795.93,20200305,20200227,20200320,20200328,20200108,20200115,Non-Cash,USD,Open,
3135G0R88,3135G0R88,3135G0R88,FNMA 1.4 11/10/20,AAA,Aaa,AA+,AGG,AGENCY,,,,US,,FNMA 1.4 11/10/20,3135G0R88,3135G0R88,3135G0R88,90947,296.775,Credit,CORP,SBL,CDE,CDE,Loan,TD,LOANET,842,2.42,0.206,FEDOPN,0,26990795.93,26990795.93,26990795.93,20200305,20200227,20200320,20200328,20200108,20200115,Non-Cash,USD,Open,
3135G0R88,3135G0R88,3135G0R88,FNMA 1.4 11/10/20,AAA,Aaa,AA+,AGG,AGENCY,,,,US,,FNMA 1.4 11/10/20,3135G0R88,3135G0R88,3135G0R88,90947,296.775,Credit,CORP,Repo,CDE,CDE,Reverse,TD,LOANET,842,2.42,0.206,FEDOPN,0,26990795.93,26990795.93,26990795.93,20200305,20200227,20200320,20200328,20200108,20200115,Non-Cash,USD,Open,
3135G0R88,3135G0R88,3135G0R88,FNMA 1.4 11/10/20,AAA,Aaa,AA+,AGG,AGENCY,,,,US,,FNMA 1.4 11/10/20,3135G0R88,3135G0R88,3135G0R88,90947,296.775,Credit,CORP,Repo,CDE,CDE,Reverse,TD,LOANET,842,2.55,0.206,FEDOPN,0,26990795.93,26990795.93,26990795.93,20200305,20200227,20200320,20200328,20200108,20200115,Non-Cash,USD,Open,
3135G0S38,3135G0S38,3135G0S38,FNMA 2 01/05/22,AAA,Aaa,AA+,AGG,T-NOTE,,,,US,,FNMA 2 01/05/22,3135G0S38,3135G0S38,3135G0S38,75382,341.815,Credit,CORP,SBL,GHI,GHI,Loan,CALSTERS,EQUILEND,909,3.27,0.263,LIBOR3M,4,25766698.33,25766698.33,25766698.33,20200305,20200227,20200320,20200328,20200110,20200115,Non-Cash,USD,Term,
3135G0S38,3135G0S38,3135G0S38,FNMA 2 01/05/22,AAA,Aaa,AA+,AGG,T-NOTE,,,,US,,FNMA 2 01/05/22,3135G0S38,3135G0S38,3135G0S38,75382,341.815,Credit,CORP,SBL,GHI,GHI,Loan,CALSTERS,EQUILEND,909,3.4,0.263,LIBOR3M,4,25766698.33,25766698.33,25766698.33,20200305,20200227,20200320,20200328,20200110,20200115,Non-Cash,USD,Term,
3135G0S38,3135G0S38,3135G0S38,FNMA 2 01/05/22,AAA,Aaa,AA+,AGG,T-NOTE,,,,US,,FNMA 2 01/05/22,3135G0S38,3135G0S38,3135G0S38,75382,341.815,Credit,CORP,Repo,GHI,GHI,Reverse,CALSTERS,EQUILEND,909,3.4,0.263,LIBOR3M,4,25766698.33,25766698.33,25766698.33,20200305,20200227,20200320,20200328,20200110,20200115,Non-Cash,USD,Term,
3135G0S38,3135G0S38,3135G0S38,FNMA 2 01/05/22,AAA,Aaa,AA+,AGG,T-NOTE,,,,US,,FNMA 2 01/05/22,3135G0S38,3135G0S38,3135G0S38,75382,341.815,Credit,CORP,Repo,GHI,GHI,Reverse,CALSTERS,EQUILEND,909,3.53,0.263,LIBOR3M,4,25766698.33,25766698.33,25766698.33,20200305,20200227,20200320,20200328,20200110,20200115,Non-Cash,USD,Term,
3135G0T37,3135G0T37,3135G0T37,FNMA 1.9 10/27/20,AAA,Aaa,AA+,AGG,T-NOTE,,,,US,,FNMA 1.9 10/27/20,3135G0T37,3135G0T37,3135G0T37,70491,291.96,Credit,CORP,Repo,JKL,JKL,Repo,CALSTERS,ION,981,2.57,0.864,LIBOR3M,2,20580552.36,20580552.36,20580552.36,20200305,20200227,20200524,20200328,20200508,20200515,Non-Cash,USD,Term,
